level,frequency,word_plain,reading
N5,未分频,口,くち
N5,未分频,向こう,むこう
N3,高频,喉,のど
N5,未分频,好き,すき
N4,未分频,工場,こうじょう
N5,未分频,広い,ひろい
N5,未分频,紅茶,こうちゃ
N5,未分频,行く,いく
N5,未分频,降りる,おりる
N5,未分频,降る,ふる
N5,未分频,高い,たかい
N5,未分频,国,くに
N5,未分频,黒,くろ
N5,未分频,黒い,くろい
N4,未分频,込む,こむ
N5,未分频,今,いま
N3,高频,今まで,いままで
N5,未分频,今月,こんげつ
N5,未分频,今週,こんしゅう
N5,未分频,今朝,けさ
N5,未分频,今日,きょう
N5,未分频,今年,ことし
N5,未分频,今晩,こんばん
N5,未分频,困る,こまる
N5,未分频,左,ひだり
N5,未分频,左手,ひだりて
N4,未分频,差す,さす
N5,未分频,砂糖,さとう
N5,未分频,座る,すわる
N2,低频,再来月,さらいげつ
N5,未分频,再来週,さらいしゅう
N2,中频,再来年,さらいねん
N5,未分频,最後,さいご
N4,未分频,最初,さいしょ
N4,未分频,祭り,まつり
N5,未分频,細い,ほそい
N5,未分频,財布,さいふ
N3,高频,咲く,さく
N5,未分频,作る,つくる
N3,中频,作家,さっか
N5,未分频,作文,さくぶん
N4,未分频,撮る,とる
N5,未分频,雑誌,ざっし
N5,未分频,皿,さら
N5,未分频,三つ,みっつ
N5,未分频,三日,みっか
N5,未分频,傘,かさ
N5,未分频,山,やま
N5,未分频,散歩,さんぽ
N5,未分频,仕事,しごと
N4,未分频,使い方,つかいかた
N5,未分频,使う,つかう
N5,未分频,四つ,よっつ
N5,未分频,四日,よっか
N5,未分频,始まる,はじまる
N5,未分频,子供,こども
N4,未分频,思う,おもう
N4,未分频,指,ゆび
N5,未分频,止まる,とまる
N4,未分频,死ぬ,しぬ
N5,未分频,私,わたし
N5,未分频,紙,かみ
N5,未分频,試験,しけん
N5,未分频,歯,は
N5,未分频,持つ,もつ
N5,未分频,時,とき
N5,未分频,時々,ときどき
N5,未分频,時間,じかん
N5,未分频,時計,とけい
N5,未分频,次,つぎ
N4,未分频,次に,つぎに
N5,未分频,耳,みみ
N3,中频,自己,じこ
N5,未分频,自転車,じてんしゃ
N3,中频,自動車,じどうしゃ
N5,未分频,自分,じぶん
N5,未分频,辞書,じしょ
N5,未分频,七つ,ななつ
N5,未分频,七日,なのか
N5,未分频,質問,しつもん
N5,未分频,写真,しゃしん
N5,未分频,社員,しゃいん
N3,中频,社会,しゃかい
N5,未分频,車,くるま
N5,未分频,借りる,かりる
N5,未分频,若い,わかい
N4,未分频,寂しい,さびしい
N4,未分频,弱い,よわい
N3,中频,主人,しゅじん
N5,未分频,取る,とる
N4,未分频,守る,まもる
N5,未分频,手,て
N5,未分频,手紙,てがみ
N4,未分频,手洗い,てあらい
N4,未分频,種類,しゅるい
N4,未分频,酒,さけ
N4,未分频,首,くび
N5,未分频,すし,すし
N5,未分频,授業,じゅぎょう
N5,未分频,秋,あき
N5,未分频,終わる,おわる
N5,未分频,習う,ならう
N5,未分频,週,しゅう
N4,未分频,週末,しゅうまつ
N5,未分频,住む,すむ
N5,未分频,十日,とおか
N2,中频,縦,たて
N5,未分频,重い,おもい
N5,未分频,宿題,しゅくだい
N4,未分频,出かける,でかける
N5,未分频,出す,だす
N5,未分频,出る,でる
N5,未分频,出口,でぐち
N3,高频,出張,しゅっちょう
N5,未分频,春,はる
N4,未分频,春休み,はるやすみ
N5,未分频,初めて,はじめて
N5,未分频,所,ところ
N5,未分频,暑い,あつい
N4,未分频,書き方,かきかた
N5,未分频,書く,かく
N3,高频,書類,しょるい
N5,未分频,女,おんな
N5,未分频,女の子,おんなのこ
N5,未分频,女性,じょせい
N3,低频,小〜,こ〜
N5,未分频,小さい,ちいさい
N5,未分频,小さな,ちいさな
N5,未分频,小学校,しょうがっこう
N5,未分频,小学生,しょうがくせい
N5,未分频,少し,すこし
N5,未分频,少ない,すくない
N4,未分频,消える,きえる
N5,未分频,消す,けす
N5,未分频,笑う,わらう
N4,未分频,象,ぞう
N5,未分频,上,うえ
N5,未分频,上げる,あげる
N5,未分频,上手,じょうず
N3,高频,丈夫,じょうぶ
N5,未分频,乗る,のる
N5,未分频,色,いろ
N5,未分频,食べる,たべる
N5,未分频,食べ物,たべもの
N5,未分频,食堂,しょくどう
N4,未分频,信じる,しんじる
N5,未分频,信号,しんごう
N5,未分频,寝る,ねる
N4,未分频,心,こころ
N5,未分频,新しい,あたらしい
N3,高频,新鮮,しんせん
N5,未分频,新聞,しんぶん
N4,未分频,申す,もうす
N4,未分频,真面目,まじめ
N2,中频,神,かみ
N5,未分频,親,おや
N5,未分频,辛い,からい
N4,未分频,つらい,つらい
N5,未分频,人,ひと
N4,未分频,人間,にんげん
N4,未分频,人気,にんき
N5,未分频,図書館,としょかん
N4,未分频,吹く,ふく
N5,未分频,水,みず
N5,未分频,水曜日,すいようび
N4,未分频,数,かず
N2,中频,数々,かずかず
N3,中频,数字,すうじ
N4,未分频,世界,せかい
N5,未分频,晴れ,はれ
N5,未分频,晴れる,はれる
N5,未分频,生まれる,うまれる
N4,未分频,生活,せいかつ
N5,未分频,生徒,せいと
N4,未分频,声,こえ
N5,未分频,西,にし
N5,未分频,青,あお
N5,未分频,青い,あおい
N5,未分频,静か,しずか
N4,未分频,席,せき
N5,未分频,赤,あか
N5,未分频,赤い,あかい
N5,未分频,切る,きる
N5,未分频,切手,きって
N5,未分频,切符,きっぷ
N5,未分频,雪,ゆき
N4,未分频,先,さき
N1,低频,先々週,せんせんしゅう
N4,未分频,先に,さきに
N5,未分频,先月,せんげつ
N5,未分频,先週,せんしゅう
N5,未分频,先生,せんせい
N4,未分频,先輩,せんぱい
N5,未分频,千,せん
N5,未分频,川,かわ
N5,未分频,洗う,あらう
N5,未分频,洗濯,せんたく
N3,中频,洗濯機,せんたくき
N5,未分频,船,ふね
N5,未分频,選ぶ,えらぶ
N5,未分频,前,まえ
N3,高频,全員,ぜんいん
N5,未分频,全部,ぜんぶ
N3,低频,祖父母,そふぼ
N5,未分频,掃除,そうじ
N5,未分频,早い,はやい
N2,低频,相撲,すもう
N5,未分频,窓,まど
N4,未分频,草,くさ
N5,未分频,走る,はしる
N4,未分频,送る,おくる
N4,未分频,側,がわ
N4,未分频,息子,むすこ
N4,未分频,村,むら
N5,未分频,多い,おおい
N5,未分频,太い,ふとい
N3,中频,太陽,たいよう
N4,未分频,だめ,だめ
N5,未分频,体,からだ
N5,未分频,待つ,まつ
N5,未分频,貸す,かす
N3,高频,代わり,かわり
N5,未分频,大きい,おおきい
N5,未分频,大学,だいがく
N1,中频,大学院生,だいがくいんせい
N5,未分频,大学生,だいがくせい
N5,未分频,大丈夫,だいじょうぶ
N5,未分频,大人,おとな
N5,未分频,大切,たいせつ
N5,未分频,大変,たいへん
N4,未分频,卓球,たっきゅう
N5,未分频,脱ぐ,ぬぐ
N5,未分频,誰,だれ
N4,未分频,誰か,だれか
N4,未分频,探す,さがす
N5,未分频,短い,みじかい
N5,未分频,誕生日,たんじょうび
N4,未分频,弾く,ひく
N4,未分频,暖かい,あたたかい
N5,未分频,男,おとこ
N5,未分频,男の子,おとこのこ
N5,未分频,知る,しる
N5,未分频,地下鉄,ちかてつ
N2,中频,地震,じしん
N5,未分频,地図,ちず
N5,未分频,池,いけ
N5,未分频,置く,おく
